iter	TotalF1	MultiClass
202	0.8508038758	0.3570717431
203	0.8516431264	0.3564256864
204	0.8521434469	0.3559575575
205	0.8530249572	0.3552023667
206	0.8533195804	0.3548800705
207	0.8542010834	0.3543963294
208	0.8536087007	0.3541647067
209	0.8542010834	0.353918299
210	0.854062671	0.3533197137
211	0.854983348	0.3529483382
212	0.8563890799	0.3525734038
213	0.8561090978	0.3521918214
214	0.8566830498	0.3517947669
215	0.8567757947	0.3514520182
216	0.8569679982	0.3510642088
217	0.8571334973	0.3506500562
218	0.8575315469	0.3497911828
219	0.858342234	0.3495733054
220	0.8581193479	0.3488822793
221	0.8591081776	0.348450113
222	0.8590785994	0.3480512695
223	0.8594379063	0.347773152
224	0.8596369901	0.3474403277
225	0.8603345601	0.3469611966
226	0.8600831912	0.3465514859
227	0.8602829082	0.3461943059
228	0.8611533371	0.3455795834
229	0.8610783401	0.3453053781
230	0.8613740224	0.3449175057
231	0.8615338473	0.3444048523
232	0.8614310311	0.3437901527
233	0.8615294992	0.3428224135
234	0.8617230533	0.3423488062
235	0.8621195712	0.3420602958
236	0.8620380274	0.3417726681
237	0.8620266811	0.3413242448
238	0.8626984136	0.3406435097
239	0.8625198853	0.3402364597
240	0.8631520542	0.3398974147
241	0.8631300671	0.3392917305
242	0.863903032	0.3388542893
243	0.8640553539	0.3383753716
244	0.8647093115	0.3378583279
245	0.8646160859	0.337406194
246	0.8648160905	0.336973374
247	0.8649364057	0.3366755141
248	0.8654074523	0.3363385954
249	0.8655629407	0.3359919994
250	0.8662350484	0.3354320606
251	0.8660492206	0.3349468786
252	0.8660492206	0.3346162415
253	0.8668230507	0.3340849584
254	0.867359099	0.3334056806
255	0.8669738446	0.3330444947
256	0.8673777031	0.3325967812
257	0.8673788508	0.3322706869
258	0.8675061749	0.3318717637
259	0.8681486842	0.3313354795
260	0.8681951622	0.33112525
261	0.8688025592	0.3305654205
262	0.8690779226	0.3303614877
263	0.8689200282	0.3299421524
264	0.8691791289	0.3296406748
265	0.8694528135	0.3290798462
266	0.8697281846	0.3287249843
267	0.8698986292	0.3284034451
268	0.8701391932	0.3280969883
269	0.8703140024	0.3279213809
270	0.8706907813	0.3272607378
271	0.8708661156	0.3268796891
272	0.8716055201	0.3264999061
273	0.8716857032	0.3263185318
274	0.8718614587	0.3259034723
275	0.8720759766	0.3256334927
276	0.8719005376	0.3253641925
277	0.8730379463	0.3248337461
278	0.8730916239	0.3245305078
279	0.8724675086	0.3241028631
280	0.8725820869	0.3235870362
281	0.8727832	0.3234058029
282	0.8732261558	0.3229698322
283	0.8736868647	0.32235883
284	0.8738689309	0.3218560918
285	0.8741671261	0.3214857037
286	0.8739170658	0.321205795
287	0.8749724801	0.3207977096
288	0.8749796623	0.3205727779
289	0.8751792549	0.3203710915
290	0.8752690906	0.3202003707
291	0.8756919606	0.3199576579
292	0.8765614815	0.3195734231
293	0.8771858283	0.319377345
294	0.8771093534	0.3191381035
295	0.8777218752	0.3187904377
296	0.8774007033	0.3183439885
297	0.8770990829	0.3180565295
298	0.8775551273	0.3177107509
299	0.8778426893	0.3174080315
300	0.8774249819	0.316862597
301	0.8779701338	0.3165224899
302	0.8783377845	0.3161925163
303	0.8787259627	0.3157719724
304	0.8791817504	0.3152987088
305	0.8791268531	0.3149442008
306	0.879365151	0.3146186003
307	0.8795440098	0.3141822686
308	0.8799402374	0.3136901985
309	0.8801527858	0.3133991892
310	0.8804768897	0.312976806
311	0.8802423063	0.3124602963
312	0.8801538129	0.3122805248
313	0.8804314034	0.3120112839
314	0.8808292067	0.3117054386
315	0.880917524	0.3114896783
316	0.8808184338	0.3110682594
317	0.8812703734	0.3107801516
318	0.8813914498	0.310546205
319	0.8813137346	0.3103699072
320	0.8826634269	0.309806762
321	0.8830445846	0.3095385302
322	0.8831319408	0.3091890061
323	0.8829512237	0.3088753797
324	0.8830741721	0.3085536497
325	0.8833395207	0.3082797526
326	0.8837336192	0.3079985971
327	0.883696428	0.3074204374
328	0.8835741278	0.307003341
329	0.8841079005	0.3064694699
330	0.8846907169	0.3060940122
331	0.8851394134	0.3058362666
332	0.8846957999	0.3053309446
333	0.8850536638	0.3050094576
334	0.8854659692	0.3048247202
335	0.885552562	0.3046232783
336	0.8854727933	0.3043076309
337	0.8855485842	0.3039189855
338	0.8859053062	0.3035758032
339	0.8853087691	0.3033234744
340	0.886125288	0.3030278135
341	0.8861903477	0.3026100172
342	0.8865462194	0.3022198351
343	0.8871711799	0.3017930252
344	0.8870960752	0.3010451887
345	0.88777437	0.3007039288
346	0.8881169748	0.3003343398
347	0.8877318732	0.3000274564
348	0.8884747797	0.2995063113
349	0.8886517584	0.2992016421
350	0.888765524	0.2989004363
351	0.8886506871	0.2984880685
352	0.8891253443	0.2981952487
353	0.8889546483	0.2979743067
354	0.8892997519	0.297630691
355	0.8894482047	0.2974056654
356	0.8896985026	0.2970338636
357	0.88995372	0.2967926032
358	0.890372117	0.296274925
359	0.8901061362	0.2960196713
360	0.8903846607	0.295720804
361	0.8903846607	0.2954684977
362	0.890382794	0.2950025846
363	0.8905951004	0.2947085564
364	0.8904251466	0.2945539644
365	0.8905101426	0.2943056461
366	0.891035523	0.2940508555
367	0.891648	0.293581034
368	0.8914362324	0.2933190413
369	0.8915494495	0.2929008343
370	0.8912953583	0.2925282994
371	0.8915530169	0.2919858169
372	0.8917023813	0.2917673733
373	0.8919665466	0.2915044345
374	0.8923098391	0.2911811881
375	0.8923081024	0.2909171509
376	0.8923462878	0.2905638966
377	0.8928580963	0.290001248
378	0.8932930215	0.2896930802
379	0.8933493325	0.2894000259
380	0.8934613728	0.28911414
381	0.89337212	0.2889787712
382	0.8935319501	0.2885132365
383	0.893547186	0.2883695328
384	0.8939920423	0.2882386033
385	0.893908	0.2879485943
386	0.8939968543	0.2877260796
387	0.8939968543	0.2875061005
388	0.8942582562	0.2871587816
389	0.8946825864	0.2869887452
390	0.8950373587	0.2866762685
391	0.8953034397	0.2863995579
392	0.8955561222	0.2859935302
393	0.8953796771	0.285490519
394	0.8958039084	0.2850820562
395	0.8956248286	0.2848943266
396	0.8953712832	0.2845586929
397	0.8958960168	0.2842714138
398	0.8962228896	0.2839964222
399	0.8961394863	0.2836587993
400	0.8961394863	0.2834857829
401	0.8962525916	0.2831661791
402	0.8966693471	0.2827094983
403	0.896752589	0.2824523559
404	0.8969189641	0.2821784214
405	0.8971445007	0.2817864095
406	0.8975067435	0.281503443
407	0.8976725288	0.2812278062
408	0.8977553677	0.2808072789
409	0.8978381707	0.2806164725
410	0.8974237969	0.2801599708
411	0.8981136378	0.2798469461
412	0.8981239893	0.2794648253
413	0.8981239893	0.279169581
414	0.8982893171	0.2786576253
415	0.8988653397	0.278268829
416	0.8990303432	0.2779108265
417	0.8994626724	0.2777693074
418	0.8994589945	0.2775944498
419	0.8993862546	0.2773327822
420	0.8999843696	0.2770351946
421	0.8999674966	0.2767040685
422	0.9000143099	0.2764012085
423	0.900218769	0.2760151113
424	0.900395022	0.2755767645
425	0.90100209	0.2753861249
426	0.9011662542	0.2751304327
427	0.9011598138	0.2748367935
428	0.901405665	0.2743948965
429	0.901734172	0.2740721589
430	0.9019708801	0.2737617513
431	0.9019745363	0.2735684066
432	0.902064557	0.2733524472
433	0.9025759528	0.2731154759
434	0.9024847396	0.2729407084
435	0.9023953144	0.2727466504
436	0.9027178283	0.2723930489
437	0.9027178283	0.2720817888
438	0.9028889236	0.2718873631
439	0.9030515408	0.271753338
440	0.9026266778	0.2714952328
441	0.9029691473	0.2712625937
442	0.9029772493	0.271048153
443	0.9033178696	0.2707575124
444	0.9031552265	0.2705089692
445	0.9036639239	0.2702336729
446	0.9039886878	0.2700748304
447	0.9037462581	0.269763711
448	0.904157172	0.269412028
449	0.9039026666	0.2691429867
450	0.904227051	0.2688946686
451	0.9045663302	0.2686412442
452	0.9045643098	0.2683782838
453	0.9047850657	0.2680984946
454	0.9050419485	0.2679596364
455	0.9052046726	0.2677675773
456	0.9053622447	0.267559059
457	0.9053388291	0.2672481964
458	0.9054195963	0.2670687868
459	0.9054312256	0.2668725141
460	0.905767417	0.2666288684
461	0.9062579437	0.2664144022
462	0.9063423198	0.266213702
463	0.9060949251	0.2660528022
464	0.9061756236	0.2659546008
465	0.9064196516	0.2657336474
466	0.9064282058	0.2654167075
467	0.9064049855	0.2651484099
468	0.9064928639	0.2648601595
469	0.9074110218	0.2645574884
470	0.9075721206	0.2641447232
471	0.9076610075	0.2640511545
472	0.9079018924	0.2635519003
473	0.9078443372	0.2633985367
474	0.9078480251	0.2632435497
475	0.9079557583	0.2629815443
476	0.9080370181	0.2628700292
477	0.9083390937	0.2625869989
478	0.9083382864	0.2622327508
479	0.9086602066	0.2618223709
480	0.9086551262	0.2616833872
481	0.908979935	0.2614184122
482	0.9090599927	0.2611091679
483	0.9085280064	0.2608932824
484	0.9090090038	0.2606052544
485	0.9088262075	0.2604009509
486	0.908749438	0.2599913592
487	0.9093137827	0.2598031926
488	0.9092337191	0.2595881571
489	0.9092369263	0.2590713602
490	0.9098879911	0.2587015535
491	0.9097279868	0.2583909237
492	0.9099752066	0.2582354783
493	0.9100551963	0.2578163412
494	0.9103220264	0.2574545318
495	0.9102413928	0.2572801715
496	0.9101622359	0.2570465121
497	0.9104878101	0.2568836438
498	0.910727282	0.256458807
499	0.9109746941	0.2562807841
500	0.9110568261	0.2560246779
501	0.9110544589	0.2558525245
502	0.9111341913	0.2556801094
503	0.911373194	0.2553441823
504	0.9112908834	0.2550974216
505	0.9112935588	0.2548202699
506	0.911373194	0.254632146
507	0.9113770495	0.2544595938
508	0.9120222971	0.2541946548
509	0.9121812285	0.2538161062
510	0.9120245995	0.2535256765
511	0.9120245995	0.2534253091
512	0.9122413821	0.2531946419
513	0.9123424701	0.2528880242
514	0.912537488	0.252706882
515	0.9124819271	0.2524837536
516	0.9124002693	0.2523565855
517	0.9128571719	0.2519363017
518	0.9131764142	0.2515658745
519	0.9135206282	0.2512576114
520	0.9136014276	0.2511556139
521	0.9138421308	0.2508536979
522	0.9137601391	0.2505674132
523	0.9138447873	0.2503241347
524	0.9138413258	0.2500013548
525	0.9139238573	0.2496946153
526	0.9140028956	0.2494967859
527	0.9140028956	0.2491963107
528	0.9138649956	0.2490636526
529	0.9139229091	0.2488401316
530	0.9136816346	0.2486557626
531	0.9138418836	0.2483467552
532	0.9138444305	0.248167482
533	0.9139493354	0.2477615931
534	0.9141074242	0.2475770978
535	0.9142717612	0.247317572
536	0.9145086687	0.2470539074
537	0.9147262447	0.2466803942
538	0.9149685125	0.2462103684
539	0.9151538235	0.2460435781
540	0.915392073	0.2458034584
541	0.915392073	0.2456407977
542	0.9150515137	0.24535863
543	0.9150473692	0.2450578944
544	0.9156071727	0.2446921461
545	0.9158474082	0.2444912888
546	0.9156004249	0.2442158764
547	0.915764619	0.243916643
548	0.9159260943	0.243502481
549	0.916001003	0.2431392128
550	0.916341309	0.2429140458
551	0.9160236082	0.2427407769
552	0.9159386275	0.2424486764
553	0.9164114571	0.2422695444
554	0.9172048991	0.2419493114
555	0.9171226922	0.241591312
556	0.9169640313	0.2413213481
557	0.9172071411	0.2410277739
558	0.9171306786	0.2408563765
559	0.9174470647	0.2404837645
560	0.9176817375	0.2402492435
561	0.9175985151	0.2400492965
562	0.9175023282	0.239745814
563	0.917740327	0.2394722861
564	0.917819298	0.2392339764
565	0.9182900448	0.2389137226
566	0.9186292699	0.2387051866
567	0.9185520487	0.2384879621
568	0.9186880853	0.238179767
569	0.9190007362	0.237802081
570	0.9189227217	0.2375757387
571	0.9191578521	0.2372733677
572	0.9193148034	0.2368890335
573	0.9193157341	0.2365962503
574	0.919627391	0.2363641915
575	0.9194715808	0.2360667807
576	0.9193160718	0.2358225091
577	0.9195311848	0.2355870239
578	0.9199992716	0.2352975221
579	0.920079008	0.2351007414
580	0.92038974	0.2348835524
581	0.9208560879	0.2346764583
582	0.9207785158	0.2345475292
583	0.9210100319	0.2342562326
584	0.9210683826	0.2341126357
585	0.9209331009	0.2338419443
586	0.9209919846	0.2337104496
587	0.9211455388	0.2333953373
588	0.9211438274	0.2329868824
589	0.9212600666	0.2328304836
590	0.9212411258	0.2326817629
591	0.9213957529	0.2325749056
592	0.9213184543	0.232450828
593	0.9214730217	0.2323659567
594	0.9217046497	0.2322712852
595	0.9216274701	0.2321292624
596	0.9220170285	0.231827202
597	0.9220170285	0.2315944865
598	0.9220177973	0.2311552528
599	0.9217082268	0.2310511075
600	0.9217082268	0.2309137259
601	0.9217082268	0.2308467
602	0.9217082268	0.2306508067
603	0.9221710121	0.2302688607
604	0.9224047329	0.2300323122
605	0.9222497265	0.2298412682
606	0.9228685069	0.2295945478
607	0.9225603382	0.2293301862
608	0.9225603382	0.229051079
609	0.9227919702	0.2288764071
610	0.9227148797	0.2287531192
611	0.9227919702	0.2284956471
612	0.9227147698	0.2281968507
613	0.9227147698	0.2279907972
614	0.922866745	0.2277017044
615	0.9227108283	0.2274937723
616	0.9232537562	0.2272425648
617	0.9231766807	0.2269981852
618	0.9230230357	0.2267454127
619	0.9235642509	0.226515074
620	0.923716061	0.2262359549
621	0.9238705472	0.2260324739
622	0.9239471927	0.2257799121
623	0.9241025095	0.2255444275
624	0.9246390711	0.2254004784
625	0.9247160553	0.2252514228
626	0.9247925922	0.224956127
627	0.9246995455	0.224807294
628	0.9246992438	0.224708926
629	0.924929652	0.2243176645
630	0.924929652	0.2241573582
631	0.9252339428	0.2239185995
632	0.925464186	0.2236737834
633	0.9256175445	0.2234070718
634	0.9258469143	0.2232352386
635	0.9259230651	0.2230004566
636	0.9259975696	0.2227314723
637	0.9259975696	0.2224146898
638	0.9265337357	0.2221872126
639	0.926151346	0.2220507045
640	0.9260008487	0.2216815495
641	0.9262301419	0.221498188
642	0.9262301419	0.2212853167
643	0.9262311171	0.2211641904
644	0.9267803237	0.2207816138
645	0.9270863796	0.2206719714
646	0.9273902681	0.2203795035
647	0.9273902681	0.2202188931
648	0.9272968083	0.2200091379
649	0.927448258	0.2197968635
650	0.9281901638	0.2194524361
651	0.9280383722	0.2192886362
652	0.9276598923	0.2191238007
653	0.9279657714	0.2189521751
654	0.9279643645	0.2188196561
655	0.9278125855	0.218688087
656	0.9278900023	0.2185634443
657	0.9282690406	0.2182960206
658	0.9284965862	0.2180583364
659	0.9284202917	0.2179421326
660	0.9284203911	0.2177433891
661	0.9284965862	0.217548429
662	0.928665285	0.2174087797
663	0.9290265503	0.2171065819
664	0.9287410671	0.2168349067
665	0.9285888616	0.2166396135
666	0.9285888616	0.216506109
667	0.9289679791	0.2161742904
668	0.9293458759	0.215842059
669	0.9291942468	0.2157719221
670	0.9296473438	0.2155211914
671	0.9297227191	0.2153053115
672	0.9298733866	0.2152277834
673	0.9299486788	0.2151258006
674	0.9300833656	0.2148693142
675	0.9303084739	0.2146105141
676	0.9305338281	0.2143548642
677	0.9305338281	0.214188783
678	0.9305178048	0.2139814798
679	0.9306688854	0.2138794149
680	0.9305188825	0.2137200718
681	0.9307444869	0.2135732541
682	0.930894752	0.2132947228
683	0.9314192102	0.2130831966
684	0.9314195758	0.2128776572
685	0.9314351774	0.2125561162
686	0.9314192102	0.2124549302
687	0.9320192823	0.2122628152
688	0.932033791	0.2120318712
689	0.9321081641	0.2117961651
690	0.9324826587	0.2115259362
691	0.9322414674	0.2112199353
692	0.9323335888	0.2109693214
693	0.9322585113	0.2108367646
694	0.9322595128	0.2105765243
695	0.9320354394	0.2104753149
696	0.9320351214	0.2103205569
697	0.9323343013	0.2100373726
698	0.9323338919	0.2099364245
699	0.9324838221	0.2098768803
700	0.9325580748	0.2096746921
701	0.9327071907	0.2093932259
702	0.9330793916	0.2091702646
703	0.9331540729	0.2090860536
704	0.9331548528	0.2089805451
705	0.9331540729	0.2088831654
706	0.9330801303	0.2087774398
707	0.933080934	0.2085655006
708	0.9331542589	0.2084028225
709	0.9332278449	0.208232923
710	0.9335997847	0.2080989238
711	0.9338982141	0.2079090277
712	0.9337506585	0.2078119829
713	0.933676099	0.2076550769
714	0.9338247094	0.2074526856
715	0.9338240667	0.2072764884
716	0.9341208558	0.2070602436
717	0.9344931902	0.206805638
718	0.9343443369	0.2067421291
719	0.93426987	0.2064540477
720	0.9342704715	0.2063061431
721	0.9343439789	0.2061128911
722	0.9345672186	0.2059851394
723	0.9345662168	0.2057915775
724	0.9346394755	0.2056291507
725	0.9345650582	0.2054041543
726	0.9347877434	0.2052523631
727	0.9347877434	0.2051955259
728	0.9349364482	0.2050397081
729	0.9350700228	0.20495641
730	0.934995705	0.2047801454
731	0.9351431661	0.2045674092
732	0.9355129634	0.2043061514
733	0.9358827114	0.204114546
734	0.9357346965	0.2039590106
735	0.935734213	0.2037982792
736	0.9362501758	0.2035398344
737	0.9363240955	0.2034389925
738	0.9363981058	0.2032840431
739	0.9362514811	0.2031425143
740	0.936177505	0.2030717985
741	0.9362514811	0.2026712632
742	0.9361035025	0.2025422968
743	0.9363981058	0.2023780395
744	0.9363981058	0.2021579193
745	0.9365459307	0.2020080962
746	0.9366198039	0.2018466953
747	0.9369832424	0.2016751876
748	0.9369849026	0.2015882131
749	0.9366893254	0.2013763143
750	0.9369110476	0.2012575154
751	0.937132534	0.2010914389
752	0.9372050136	0.2009339479
753	0.9372050136	0.2008019087
754	0.9372770917	0.200651998
755	0.937424633	0.2003841157
756	0.937572127	0.2003230305
757	0.9374246339	0.2002163488
758	0.9370555839	0.2000173501
759	0.937129446	0.1998399472
760	0.9371293401	0.199581936
761	0.9370555062	0.199479605
762	0.937350685	0.1992273356
763	0.9374981179	0.1990801494
764	0.9374244145	0.1988031635
765	0.9376457493	0.1986338938
766	0.9377195159	0.1984640595
767	0.9377930302	0.1982919788
768	0.938013982	0.1980965941
769	0.9379387749	0.1979451376
770	0.938013982	0.1977024784
771	0.938013982	0.1975759188
772	0.9379404043	0.1974678713
773	0.9383801402	0.1972291418
774	0.9385989415	0.196911998
775	0.938525339	0.1967632945
776	0.9390359744	0.1966079982
777	0.9390344398	0.1962944439
778	0.9391673169	0.1961617902
779	0.9391671653	0.1959901232
780	0.9393140263	0.1957846208
781	0.939387274	0.1955920373
782	0.9394605922	0.1953333491
783	0.9395338848	0.1951096566
784	0.9396071518	0.1949432341
785	0.9397518105	0.1948472062
786	0.9398961877	0.1945233113
787	0.9399730435	0.19437814
788	0.9396802229	0.1942047115
789	0.9398263578	0.1940430464
790	0.9401894524	0.1937526417
791	0.9401894524	0.1935919772
792	0.9403339416	0.1934038848
793	0.9403319602	0.1932766638
794	0.9405493763	0.1930623161
795	0.9406948781	0.1929409383
796	0.9406249098	0.1926942774
797	0.9406972795	0.1926051495
798	0.9406972795	0.1924996962
799	0.9405497549	0.1923520407
800	0.9406938557	0.1922201367
801	0.940913108	0.1920095268
802	0.9408400492	0.1918832872
803	0.9407669652	0.1917537946
804	0.9408393389	0.1916099395
805	0.9409101956	0.1915638794
806	0.9412027505	0.1913405616
807	0.9412027505	0.1912859065
808	0.9413487534	0.1912163911
809	0.941129711	0.191091205
810	0.9414183457	0.190900536
811	0.9412736173	0.1907011906
812	0.9412005758	0.1905062351
813	0.9412736173	0.1904404626
814	0.9414196243	0.190337061
815	0.9414196243	0.1902059181
816	0.9414925899	0.190067221
817	0.9418549663	0.1897991095
818	0.9417832011	0.1896058895
819	0.9420721291	0.1893766523
820	0.9421449496	0.1890700625
821	0.942724783	0.1887914397
822	0.9428680841	0.1886157806
823	0.9430858085	0.1884034788
824	0.9432289066	0.1882810724
825	0.9430838274	0.1880932089
826	0.9430838274	0.1879454827
827	0.9431563794	0.1878792698
828	0.9432289066	0.1877632491
829	0.9432289066	0.1875482552
830	0.9432289066	0.1874357095
831	0.9431563794	0.1873623273
832	0.9431542831	0.1872062496
833	0.9432268371	0.1871284917
834	0.943370153	0.187016213
835	0.9435876053	0.1868721462
836	0.9435876053	0.1867774283
837	0.9437302807	0.1866795325
838	0.9439474425	0.1863667946
839	0.9440928023	0.1862296639
840	0.9439482042	0.186072727
841	0.9439482042	0.1859797863
842	0.9440183393	0.1857831139
843	0.9440906527	0.1856329569
844	0.9440906527	0.185501071
845	0.9440183393	0.1854026895
846	0.9441629414	0.1852180567
847	0.9442352057	0.1851328259
848	0.944451249	0.1849914798
849	0.9443067901	0.1847800707
850	0.94459561	0.1846453541
851	0.94459561	0.1845128803
852	0.9445226658	0.1841884195
853	0.9446670309	0.183944764
854	0.9445226658	0.1836974931
855	0.9445226658	0.1835778523
856	0.9444494448	0.183395646
857	0.9444494448	0.1832611346
858	0.9446661087	0.1830401534
859	0.9447382811	0.1828216031
860	0.9448702129	0.1827060002
861	0.9453017014	0.1823777522
862	0.9453737096	0.1823014404
863	0.9454578346	0.1821996876
864	0.9454578346	0.1820959036
865	0.9453138996	0.1820291912
866	0.9453138996	0.1818979826
867	0.9456016727	0.1817147704
868	0.9456016727	0.1815442474
869	0.9458845265	0.1813259098
870	0.9460282319	0.1811237693
871	0.9459572872	0.181010342
872	0.9460282319	0.1808112459
873	0.9459572872	0.1806707796
874	0.9461726586	0.1805049341
875	0.9463042577	0.180348563
876	0.9461598927	0.1801351287
877	0.9463759802	0.1799294161
878	0.9463752106	0.1798310005
879	0.9463752106	0.1796508263
880	0.9464469352	0.1795249971
881	0.9464469352	0.1794227229
882	0.9463752106	0.1792914305
883	0.9465910041	0.179074359
884	0.9469488992	0.1788900568
